Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2017,61639,10025,NY,New York,New York,New York,0,1318000,0.016504705,0.105148415,0.182593091,0.10982095,0.058892233,2017-08,2017-Q3,1318000,0,2017-08
8/31/2017,84654,60657,IL,Chicago,Cook,Chicago,1,328100,-0.000304692,0.001526252,0.030141287,0.043800859,0.001258283,2017-06,2017-Q2,328600,-0.001521607,2017-06
8/31/2017,84616,60614,IL,Chicago,Cook,Chicago,2,412900,-0.007690459,0.017998028,0.030446718,0.051904403,0.003707327,2017-02,2017-Q1,418000,-0.012200957,2016-11
8/31/2017,93144,79936,TX,El Paso,El Paso,El Paso,3,114200,0,-0.005226481,0.004397537,-0.002261286,-0.01363085,2007-12,2007-Q4,131100,-0.12890923,2006-08
8/31/2017,84640,60640,IL,Chicago,Cook,Chicago,4,211200,0.012464046,0.025740651,0.05758638,0.046707269,-0.01066328,2007-02,2007-Q1,237800,-0.111858705,2003-09
8/31/2017,91733,77084,TX,Houston,Harris,Houston,5,160900,0.009410289,0.026147959,-0.001241465,0.082995015,0.022422299,2016-08,2016-Q3,161100,-0.001241465,2016-08
8/31/2017,97564,94109,CA,San Francisco,San Francisco,San Francisco,6,1147000,-0.004599497,-0.003648367,0.043866036,0.088390384,0.033814814,2017-06,2017-Q2,1155100,-0.00701238,2017-05
8/31/2017,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,7,315400,0.000952079,0.003819223,0.060524546,0.097034373,0.043516804,2017-08,2017-Q3,315400,0,2017-08
8/31/2017,62037,11226,NY,New York,Kings,New York,8,647900,-0.001694915,-0.004303058,0.127567003,0.115983133,0.041556714,2017-06,2017-Q2,652200,-0.00659307,2017-05
8/31/2017,91940,77449,TX,Houston,Harris,Cypress,9,163100,0.008034611,0.022570533,0.019375,0.089187044,0.020534264,2017-08,2017-Q3,163100,0,2017-08
8/31/2017,61630,10016,NY,New York,New York,New York,10,1136000,0.019657122,0.118000197,0.259144314,0.104600411,0.049670164,2017-08,2017-Q3,1136000,0,2017-08
8/31/2017,71831,32162,FL,The Villages,Sumter,The Villages,11,247500,0.000808734,-0.000807428,0.004056795,0.042395737,0.001220271,2007-01,2007-Q1,253800,-0.024822695,2006-09
8/31/2017,62045,11235,NY,New York,Kings,New York,12,554700,0.014447696,0.090855457,0.187285959,0.072338414,0.031699484,2017-08,2017-Q3,554700,0,2017-08
8/31/2017,84646,60647,IL,Chicago,Cook,Chicago,13,335400,0.000596659,0.004793289,0.074311339,0.082926383,0.00964584,2017-08,2017-Q3,335400,0,2017-08
8/31/2017,74242,37211,TN,Nashville,Davidson,Nashville,14,229000,0.006593407,0.018683274,0.132542038,0.109674156,0.043355637,2017-08,2017-Q3,229000,0,2017-08
8/31/2017,96107,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,15,578100,0.002601457,0.006967427,0.079350261,0.098811554,,2017-08,2017-Q3,578100,0,2017-08
8/31/2017,74101,37013,TN,Nashville,Davidson,Nashville,16,191500,0.011087645,0.037940379,0.141239571,0.086464776,0.0255494,2017-08,2017-Q3,191500,0,2017-08
8/31/2017,84620,60618,IL,Chicago,Cook,Chicago,17,336700,0.002083333,0.01020102,0.045327538,0.06907748,-0.002951228,2007-02,2007-Q1,351100,-0.041013956,2006-01
8/31/2017,61703,10128,NY,New York,New York,New York,18,1391400,0.024594993,0.084151473,0.310292871,0.118845367,0.050159797,2017-08,2017-Q3,1391400,0,2017-08
8/31/2017,69816,28269,NC,Charlotte,Mecklenburg,Charlotte,19,180400,0.004454343,0.01863354,0.078947368,0.058442702,0.011756841,2017-08,2017-Q3,180400,0,2017-08
8/31/2017,71067,30349,GA,Atlanta,Clayton,Riverdale,20,123300,0.020695364,0.067532468,0.234234234,0.14446018,-0.011842701,2006-04,2006-Q2,142300,-0.133520731,2002-08
8/31/2017,93123,79912,TX,El Paso,El Paso,El Paso,21,171000,0.002344666,0.008849558,0.014836795,-0.006086111,-0.009380362,2007-12,2007-Q4,189700,-0.0985767,2006-07
8/31/2017,96027,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,22,1303800,-0.003058572,-0.00851711,0.04647243,0.104639131,0.022726102,2017-05,2017-Q2,1315000,-0.00851711,2017-04
8/31/2017,97771,94565,CA,San Francisco,Contra Costa,Pittsburg,23,389900,0.004896907,0.011938749,0.095224719,0.176879992,-0.01042997,2006-08,2006-Q3,468000,-0.166880342,2005-01
8/31/2017,61802,10462,NY,New York,Bronx,New York,24,151700,0.053472222,0.150986343,0.296581197,0.085619211,,2017-08,2017-Q3,151700,0,2017-08
8/31/2017,61796,10456,NY,New York,Bronx,New York,25,343400,0.006447831,0.011487482,0.098177167,0.049037103,,2017-08,2017-Q3,343400,0,2017-08
8/31/2017,84615,60613,IL,Chicago,Cook,Chicago,26,210800,0.008130081,0.024793388,0.047193244,0.040074728,-0.013012429,2007-12,2007-Q4,241400,-0.126760563,2002-10
8/31/2017,66133,20009,DC,Washington,District of Columbia,Washington,27,553400,-0.003780378,-0.006819813,0.027478648,0.044190693,0.021080402,2017-03,2017-Q1,565000,-0.020530973,2017-01
8/31/2017,66126,20002,DC,Washington,District of Columbia,Washington,28,606900,0,0.003970223,0.024476705,0.0963225,,2017-03,2017-Q1,612700,-0.009466297,2017-02
8/31/2017,66843,21234,MD,Baltimore,Baltimore,Parkville,29,203400,0.001477105,0.000984252,0.021597187,0.025314972,-0.010305435,2007-07,2007-Q3,225800,-0.099202834,2005-12
8/31/2017,86026,63376,MO,St. Louis,Saint Charles,Saint Peters,30,179400,-0.01320132,-0.06122449,-0.007194245,0.03288883,0.00231459,2017-04,2017-Q2,192400,-0.067567568,2016-07
8/31/2017,91685,77036,TX,Houston,Harris,Houston,31,108700,0.019699812,0.016838167,-0.074893617,0.096430444,0.023939332,2016-08,2016-Q3,117500,-0.074893617,2016-06
8/31/2017,70829,30044,GA,Atlanta,Gwinnett,Lawrenceville,32,171000,0.005882353,0.016042781,0.090561224,0.135214069,0.005111575,2017-08,2017-Q3,171000,0,2017-08
8/31/2017,61803,10463,NY,New York,Bronx,New York,33,487500,-0.004492546,0.012881779,0.111998175,0.049598573,0.00918601,2008-11,2008-Q4,560800,-0.130706134,2008-06
8/31/2017,84630,60629,IL,Chicago,Cook,Chicago,34,159100,0.001258653,-0.011187073,0.012730745,0.061591994,-0.035256978,2006-08,2006-Q3,233300,-0.318045435,2003-05
8/31/2017,84627,60625,IL,Chicago,Cook,Chicago,35,268500,0.00298842,0.015891033,0.050058662,0.057731085,-0.013982714,2007-10,2007-Q4,309800,-0.133311814,2004-10
8/31/2017,62017,11206,NY,New York,Kings,New York,36,656800,0.012486511,0.073378003,0.229502059,0.10783635,0.063668258,2017-08,2017-Q3,656800,0,2017-08
8/31/2017,62040,11230,NY,New York,Kings,New York,37,839700,0.00238749,-0.000832937,0.08642774,0.098314752,0.032153691,2017-05,2017-Q2,840400,-0.000832937,2017-05
8/31/2017,62020,11209,NY,New York,Kings,New York,38,807000,0.037942122,0.144356211,0.308365759,0.102067899,0.044109236,2017-08,2017-Q3,807000,0,2017-08
8/31/2017,62012,11201,NY,New York,Kings,New York,39,1160000,0.018616087,0.079772875,0.249596036,0.130827966,0.093577696,2017-08,2017-Q3,1160000,0,2017-08
8/31/2017,92551,78613,TX,Austin,Williamson,Cedar Park,40,273600,0.001464129,0.006993007,0.065835606,0.079545349,0.032400321,2017-08,2017-Q3,273600,0,2017-08
8/31/2017,62023,11212,NY,New York,Kings,New York,41,401500,0.005761523,0.014914055,0.164780969,0.075052508,0.010354338,2017-08,2017-Q3,401500,0,2017-08
8/31/2017,74126,37042,TN,Clarksville,Montgomery,Clarksville,42,127200,0.004739336,0.0176,0.015974441,0.010713254,0.015934546,2017-08,2017-Q3,127200,0,2017-08
8/31/2017,90823,75287,TX,Dallas-Fort Worth,Dallas,Dallas,43,316900,0.000315657,-0.001260637,0.047257105,0.081889504,0.033744419,2017-05,2017-Q2,317300,-0.001260637,2017-05
8/31/2017,94748,85032,AZ,Phoenix,Maricopa,Phoenix,44,243400,0.002884219,0.017558528,0.07319224,0.108692199,-0.001224255,2006-04,2006-Q2,259400,-0.061680802,2005-11
8/31/2017,92271,78130,TX,San Antonio,Comal,New Braunfels,45,199500,0.002009041,0.011150532,0.06684492,0.06312473,0.031009238,2017-08,2017-Q3,199500,0,2017-08
8/31/2017,62025,11214,NY,New York,Kings,New York,46,658800,0.002434571,0.014943768,0.13137558,0.076833205,0.038530376,2017-08,2017-Q3,658800,0,2017-08
8/31/2017,92481,78521,TX,Brownsville,Cameron,Brownsville,47,72400,0.002770083,0.018284107,0.082212257,0.0265804,0.03071472,2017-08,2017-Q3,72400,0,2017-08
8/31/2017,70828,30043,GA,Atlanta,Gwinnett,Lawrenceville,48,218200,0.00831793,0.026823529,0.111563933,0.097556373,0.01058146,2017-08,2017-Q3,218200,0,2017-08
8/31/2017,70874,30096,GA,Atlanta,Gwinnett,Duluth,49,204400,0.007889546,0.024561404,0.083775186,0.103705638,0.010899906,2017-08,2017-Q3,204400,0,2017-08
8/31/2017,67732,23464,VA,Virginia Beach,Virginia Beach City,Virginia Beach,50,255400,0,0.004720692,0.03358964,0.024127138,-0.003945885,2007-03,2007-Q1,266300,-0.040931281,2005-12
8/31/2017,97711,94501,CA,San Francisco,Alameda,Alameda,51,916900,-0.002936059,-0.005531453,0.050166075,0.118189207,0.033312699,2017-06,2017-Q2,922400,-0.005962706,2017-04
8/31/2017,60545,7030,NJ,New York,Hudson,Hoboken,52,756800,0.004379562,0.008932142,0.093641618,0.098096624,0.041945604,2017-08,2017-Q3,756800,0,2017-08
8/31/2017,84621,60619,IL,Chicago,Cook,Chicago,53,144800,-0.002754821,0.004857738,0.055393586,0.03100195,-0.019490908,2007-09,2007-Q3,176300,-0.178672717,2005-03
8/31/2017,89925,73099,OK,Oklahoma City,Canadian,Yukon,54,157200,-0.001270648,-0.003170577,-0.007575758,0.027589567,,2016-11,2016-Q4,158700,-0.009451796,2016-03
8/31/2017,97565,94110,CA,San Francisco,San Francisco,San Francisco,55,1379800,0.009659008,0.020788637,0.11130799,0.129547927,0.05442408,2017-08,2017-Q3,1379800,0,2017-08
8/31/2017,69823,28277,NC,Charlotte,Mecklenburg,Charlotte,56,331300,0.003027551,0.007909948,0.044780826,0.0629938,0.016567121,2017-08,2017-Q3,331300,0,2017-08
8/31/2017,90795,75243,TX,Dallas-Fort Worth,Dallas,Dallas,57,190100,-0.019091847,0.000526316,0.109748978,0.111214378,0.038413804,2017-07,2017-Q3,193800,-0.019091847,2017-06
8/31/2017,96015,90034,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,58,1050100,0.005842912,0.012730254,0.062854251,0.105524488,0.030963664,2017-08,2017-Q3,1050100,0,2017-08
8/31/2017,72463,33160,FL,Miami-Fort Lauderdale,Miami-Dade,Sunny Isles Beach,59,336900,0.00657305,0.015064779,-0.024609149,0.069381932,-0.004205037,2006-08,2006-Q3,401900,-0.161731774,2005-08
8/31/2017,72442,33139,FL,Miami-Fort Lauderdale,Miami-Dade,Miami Beach,60,366300,0.008812999,0.013558384,-0.010267495,0.076735308,0.00367688,2017-01,2017-Q1,377500,-0.029668874,2016-04
8/31/2017,77007,44107,OH,Cleveland,Cuyahoga,Lakewood,61,158900,0.005060089,0.018589744,0.149782923,0.071124606,0.019495376,2017-08,2017-Q3,158900,0,2017-08
8/31/2017,91889,77379,TX,Houston,Harris,Tomball,62,228900,0.019599109,0.053382421,0.032476319,0.054686145,0.021080561,2016-03,2016-Q1,234300,-0.023047375,2015-12
8/31/2017,62088,11377,NY,New York,Queens,New York,63,574600,0.037746072,0.121827411,0.301767105,0.162109953,0.06458491,2017-08,2017-Q3,574600,0,2017-08
8/31/2017,96025,90044,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,64,406800,0.004692517,0.021597187,0.11911967,0.123357778,-0.004507637,2007-04,2007-Q2,431400,-0.057023644,2006-07
8/31/2017,72578,33411,FL,Miami-Fort Lauderdale,Palm Beach,Royal Palm Beach,65,275200,0.007320644,0.023809524,0.056024559,0.129045474,0.001946551,2006-03,2006-Q1,327500,-0.159694656,2005-05
8/31/2017,62044,11234,NY,New York,Kings,New York,66,560400,0.001429593,0.004841313,0.109263658,0.060742448,0.014995442,2017-08,2017-Q3,560400,0,2017-08
8/31/2017,96193,90650,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Norwalk,67,444800,0.000674916,0.003836606,0.048561999,0.087669407,-0.004066713,2006-11,2006-Q4,482700,-0.078516677,2005-11
8/31/2017,96239,90805,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,68,422300,0.003326206,0.010287081,0.062389937,0.103827813,-0.005289188,2006-09,2006-Q3,458800,-0.079555362,2005-11
8/31/2017,62018,11207,NY,New York,Kings,New York,69,374600,0,0.002408349,0.050476725,0.057684811,0.001425963,2017-06,2017-Q2,374700,-0.00026688,2017-06
8/31/2017,90665,75067,TX,Dallas-Fort Worth,Denton,Lewisville,70,224500,0.000445633,0.01814059,0.088221037,0.088230101,0.040870861,2017-08,2017-Q3,224500,0,2017-08
8/31/2017,84619,60617,IL,Chicago,Cook,Chicago,71,118700,0.00084317,-0.010833333,0.02151463,0.012775311,-0.029537361,2007-03,2007-Q1,163800,-0.275335775,2003-11
8/31/2017,76953,44035,OH,Cleveland,Lorain,Elyria,72,94100,0.00534188,0.014008621,0.0537514,0.026910235,-0.016115315,2006-09,2006-Q3,114600,-0.178883072,2000-05
8/31/2017,67730,23462,VA,Virginia Beach,Virginia Beach City,Virginia Beach,73,199900,0.004018081,0.010106114,0.029351184,0.024054069,-0.00665336,2007-09,2007-Q3,213900,-0.065451145,2006-04
8/31/2017,65810,19143,PA,Philadelphia,Philadelphia,Philadelphia,74,71300,-0.005578801,-0.005578801,0.045454545,0.035804204,0.004750108,2009-03,2009-Q1,74000,-0.036486486,2008-11
8/31/2017,79054,48197,MI,Ann Arbor,Washtenaw,Ypsilanti,75,199500,0.010638298,0.032074496,0.099779493,0.090103113,0.010451147,2005-07,2005-Q3,201400,-0.009433962,2005-02
8/31/2017,92617,78704,TX,Austin,Travis,Austin,76,518100,0.000772648,-0.004993278,0.048360987,0.092037394,0.057256441,2017-04,2017-Q2,524800,-0.012766768,2017-04
