Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
8/31/2017,10025,NY,New York,New York,New York,0,3545,0.003680634,0.002545249,-0.023684935,22431
8/31/2017,60657,IL,Chicago,Cook,Chicago,1,1899,0.002639916,0.011182109,-0.028644501,32223
8/31/2017,10023,NY,New York,New York,New York,2,3887,0.013031014,0.026948481,-0.0218923,29114
8/31/2017,60614,IL,Chicago,Cook,Chicago,3,2132,-0.001872659,0.009947892,-0.035294118,33150
8/31/2017,79936,TX,El Paso,El Paso,El Paso,4,985,-0.005050505,-0.007056452,-0.017946162,31486
8/31/2017,10002,NY,New York,New York,New York,5,3730,0.00783572,0.027548209,-0.01764551,9172
8/31/2017,60640,IL,Chicago,Cook,Chicago,6,1616,0.000619195,0.004975124,-0.011620795,22477
8/31/2017,10467,NY,New York,Bronx,New York,7,1756,0.002855511,0.016792125,0.006303725,7339
8/31/2017,77084,TX,Houston,Harris,Houston,8,1426,0.003518649,0.008486563,-0.010409438,26718
8/31/2017,94109,CA,San Francisco,San Francisco,San Francisco,9,4429,-0.00180302,-0.00494271,-0.026379424,9561
8/31/2017,75070,TX,Dallas-Fort Worth,Collin,McKinney,10,1930,0,0.002076843,0.004162331,28948
8/31/2017,11226,NY,New York,Kings,New York,11,2158,0.005591799,0.008882655,0.002788104,10575
8/31/2017,77494,TX,Houston,Fort Bend,Cinco Ranch,12,2148,-0.0013947,-0.004172462,-0.041071429,31576
8/31/2017,77449,TX,Houston,Harris,Cypress,13,1422,0.003528582,0.004946996,-0.024021963,31979
8/31/2017,11375,NY,New York,Queens,New York,14,2135,-0.006514658,-0.014766959,-0.026891522,22413
8/31/2017,10016,NY,New York,New York,New York,15,3688,0.01013421,0.026154702,-0.018365717,26908
8/31/2017,11235,NY,New York,Kings,New York,16,2232,0.004048583,-0.001342282,0.013163867,16914
8/31/2017,60647,IL,Chicago,Cook,Chicago,17,1819,0.00275634,0.018477044,0.012806236,20165
8/31/2017,37211,TN,Nashville,Davidson,Nashville,18,1533,-0.00065189,0.00921659,0.038617886,20517
8/31/2017,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,19,2606,0.006566242,0.021560172,0.044907779,14870
8/31/2017,37013,TN,Nashville,Davidson,Nashville,20,1434,0,0.004201681,0.034632035,22726
8/31/2017,10009,NY,New York,New York,New York,21,3875,0.012542461,0.034160662,-0.011983682,9251
8/31/2017,60618,IL,Chicago,Cook,Chicago,22,1855,0.003244997,0.011450382,-0.006959315,20788
